product_id,name,score
11,"Android Smartphone",0.6000
3,"Smart LED TV",0.5667
4,"4K OLED TV",0.5267
12,"Flagship Mobile",0.5000
20,"Programming in Rust",0.5000
15,"Air Fryer",0.4867
1,"ThinkBook Laptop",0.4600
19,"Kids Story Book",0.4600
6,"Noise Cancelling Pro",0.4467
5,"Wireless Headphones",0.4200
16,"Vacuum Cleaner",0.4200
2,"UltraWide Monitor",0.4133
17,"Espresso Machine",0.4067
7,"Summer T-Shirt",0.4000
8,"Cotton Hoodie",0.4000
9,"Modern Sofa",0.4000
10,"Wooden Dining Table",0.4000
13,"Running Shoes",0.4000
14,"Dumbbell Set",0.4000
18,"Blender Pro",0.4000
