product_id,name,score
11,"Android Smartphone",0.6933
3,"Smart LED TV",0.6600
12,"Flagship Mobile",0.6400
4,"4K OLED TV",0.6200
20,"Programming in Rust",0.5933
15,"Air Fryer",0.5800
1,"ThinkBook Laptop",0.5533
19,"Kids Story Book",0.5533
6,"Noise Cancelling Pro",0.5400
5,"Wireless Headphones",0.5133
16,"Vacuum Cleaner",0.5133
2,"UltraWide Monitor",0.5067
17,"Espresso Machine",0.5000
7,"Summer T-Shirt",0.4933
8,"Cotton Hoodie",0.4933
9,"Modern Sofa",0.4933
10,"Wooden Dining Table",0.4933
13,"Running Shoes",0.4933
14,"Dumbbell Set",0.4933
18,"Blender Pro",0.4933
