product_id,name,score
11,"Android Smartphone",0.6600
3,"Smart LED TV",0.6267
12,"Flagship Mobile",0.5900
4,"4K OLED TV",0.5867
20,"Programming in Rust",0.5600
15,"Air Fryer",0.5467
1,"ThinkBook Laptop",0.5200
19,"Kids Story Book",0.5200
6,"Noise Cancelling Pro",0.5067
5,"Wireless Headphones",0.4800
16,"Vacuum Cleaner",0.4800
2,"UltraWide Monitor",0.4733
17,"Espresso Machine",0.4667
7,"Summer T-Shirt",0.4600
8,"Cotton Hoodie",0.4600
9,"Modern Sofa",0.4600
10,"Wooden Dining Table",0.4600
13,"Running Shoes",0.4600
14,"Dumbbell Set",0.4600
18,"Blender Pro",0.4600
