product_id,name,score
11,"Android Smartphone",0.6333
3,"Smart LED TV",0.6000
4,"4K OLED TV",0.5600
12,"Flagship Mobile",0.5500
20,"Programming in Rust",0.5333
15,"Air Fryer",0.5200
1,"ThinkBook Laptop",0.4933
19,"Kids Story Book",0.4933
6,"Noise Cancelling Pro",0.4800
5,"Wireless Headphones",0.4533
16,"Vacuum Cleaner",0.4533
2,"UltraWide Monitor",0.4467
17,"Espresso Machine",0.4400
7,"Summer T-Shirt",0.4333
8,"Cotton Hoodie",0.4333
9,"Modern Sofa",0.4333
10,"Wooden Dining Table",0.4333
13,"Running Shoes",0.4333
14,"Dumbbell Set",0.4333
18,"Blender Pro",0.4333
